sample;year;alcohol-mz-84-97-279-TMS;Phytol-TMS;alcohol-mz-57-267-95-497-TMS;cholesterol-TMS;cholestanol-TMS;Brassicasterol-TMS;Campasterol-plus-x-co-elutingTMS;Campastanol-plus-x-TMS;Stigmasterol_TMS;4a-desmethyl-dinosterol-TMS;unknown-compound-M486;Fungisterol-TMS;Sitosterol-TMS;Chondrillasterol-TMS;Sitostanol-TMS;4a-24-dimethyl-5a-cholestan-3b-ol-TMS;Amyrin-TMS;Dehydrodinosterol-TMS;Dinosterol-TMS;maybe-single-22-dihydrochondrillasterol-TMS;a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-TMS;4a-23-24-cholest-17-20-en-3b-ol-TMS;Triterpenoid-mz-189-371-plus-alcohol-mz-227-410-500-TMS;Dinostanol-plus-isomer-TMS;maybe-another-Dinostanol-isomer-TMS;sterol-mz-75-255-388-500-TMS;maybe-Lanosterol-plus-co-eluter-TMS;Tetrahymanol-TMS;Diplopterol-TMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2018-2016-F3;2017;0.011683552;0.205475318;0.001465833;0.152101746;0.152231084;0.076999353;0.099073076;0.026945462;0.029316663;0.001940073;0.007674068;0.006466911;0.066479845;0.00456995;0.036559603;0.00801897;0.003319681;0.009657254;0.021125243;0.005130416;0.006898038;0.005647769;0.003492132;0.013494288;0.000819142;0.001767622;0.000819142;0.013882302;0.026945462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2015-2013-F3;2014;0.006893253;0.183247988;0.016628215;0.065893872;0.096927579;0.060435541;0.102104552;0.038799167;0.03640763;0.008778347;0.010607169;0.010100726;0.072702718;0.015165157;0.076050869;0.014996342;0.002138315;0.016993979;0.038799167;0.010944798;0.008637668;0.005824095;0.005064431;0.022902482;0.002025772;0.003657644;0.001237972;0.025265883;0.040768668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2012-2010-F3;2011;0.008441247;0.216115108;0.024748201;0.050503597;0.060815348;0.052613909;0.077505995;0.037026379;0.037745803;0.009208633;0.013045564;0.022829736;0.062302158;0.046714628;0.075395683;0.013141487;0.002446043;0.009448441;0.023741007;0.025611511;0.012517986;0.004508393;0.006618705;0.017553957;0.003501199;0.003980815;0.000911271;0.036115108;0.044892086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2009-2007-F3;2008;0.035297886;0.139013453;0.030493274;0.049839846;0.056886611;0.057078796;0.071620756;0.034849455;0.04016656;0.009865471;0.017424728;0.026713645;0.065278668;0.058488149;0.086098655;0.013004484;0.004868674;0.007879564;0.0247918;0.031710442;0.017040359;0.003523382;0.008584241;0.021909033;0.004868674;0.005829596;0;0.033440102;0.043433696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2006-2004-F3;2005;0.02805;0.2765;0.03385;0.0581;0.0368;0.0549;0.06625;0.03055;0.02635;0.01175;0.01515;0.0084;0.0653;0;0.0804;0.0121;0.0025;0.00715;0.02085;0.0075;0.0218;0.00305;0.00925;0.0234;0.0051;0.00815;0;0.03735;0.04945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2003-2001-F3;2002;0.026486067;0.200586662;0.021280879;0.061915854;0.027205015;0.054668852;0.06631582;0.040117332;0.025450781;0.018635148;0.023811578;0.009346332;0.067868749;0;0.101227964;0.015471774;0.003767291;0.009317574;0.022431197;0.005952894;0.026112213;0.004658787;0.008454836;0.027636385;0.003796049;0.006384264;0.001869266;0.044517298;0.07471314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_2000-1998-F3;1999;0.023563048;0.148871143;0.006802721;0.060139998;0.032534753;0.065365277;0.068027211;0.038745933;0.031943212;0.023070098;0.023168688;0.010154787;0.065562457;0.009464655;0.109435078;0.022872917;0.006605541;0.005816819;0.029577048;0.006704131;0.029872819;0.003154885;0.010746328;0.03657695;0.008577344;0.007197082;0;0.052548556;0.062900523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1997-1995-F3;1996;0.016105755;0.248744444;0.036136928;0.044103215;0.023783409;0.053339491;0.057668995;0.031461063;0.021762974;0.016798476;0.022109334;0.009005369;0.052069503;0.008428101;0.095595451;0.016683023;0.006176759;0.010448537;0.029729262;0.008832188;0.032269237;0.006003579;0.007273567;0.022340241;0.003117243;0.004502684;0;0.047105005;0.068406165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1991-1989-F3;1990;0.012907496;0.095813338;0.032351481;0.049644216;0.025070329;0.039301671;0.073142479;0.037233162;0.024160185;0.015886149;0.026807877;0.025484031;0.038391527;0.085553533;0.091924541;0.018120139;0.012742016;0.010259805;0.031855039;0.021843455;0.038639748;0.004964422;0.014810525;0.038143306;0.005212643;0.008356776;0;0.045755419;0.07562469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1985-1983-F3;1984;0.017911837;0.182336293;0.024580312;0.036443996;0.023029504;0.031830342;0.048075059;0.021052223;0.028457333;0.011631063;0.027643159;0.030357074;0.028457333;0.123134184;0.05567402;0.019772807;0.006009382;0.006590936;0.030434614;0.016399798;0.028147172;0.003566859;0.025472027;0.043577715;0.010351646;0.007831582;0;0.036870469;0.074361261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1982-1980-F3;1981;0.018517584;0.100005046;0.002321005;0.031585852;0.02532923;0.032191332;0.065139513;0.021444069;0.03431051;0.009334477;0.019829457;0.048186084;0.031434482;0.198395479;0.060598416;0.013118724;0.006407992;0.004843837;0.022352288;0.027347495;0.023815531;0.001009133;0.06382764;0.022806398;0.008375801;0.005701599;0;0.02981987;0.071951158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1979-1977-F3;1978;0.013588878;0.075249391;0.018655251;0.053687849;0.0274134;0.019401461;0.061071401;0.037271228;0.031812112;0.019401461;0.026588642;0.041944859;0.032990339;0.163459273;0.057536721;0.015552588;0.008326133;0.004320163;0.021679365;0.022779043;0.028395256;0.001256775;0.022072107;0.046500668;0.007933391;0.022229204;0;0.034443484;0.084439557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1976-1974-F3;1975;0.018843235;0.098926982;0.030777283;0.050667365;0.023554043;0.0361162;0.06275844;0.029207014;0.030515572;0.016278461;0.028474221;0.031928814;0.033289715;0.121067783;0.078408794;0.017953415;0.00565297;0.007066213;0.027479717;0.023972782;0.03182413;0.002983512;0.021303324;0.031928814;0.00654279;0.014551165;0.001884323;0.046218267;0.069824653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1973-1971-F3;1972;0.042739642;0.031209163;0.030517334;0.052117765;0.023752787;0.036666923;0.073487586;0.02705819;0.030056115;0.013298486;0.021062341;0.034207087;0.039049889;0.125067261;0.068491045;0.017756938;0.007456376;0.003382274;0.031747252;0.037589361;0.0329003;0.001768007;0.01614267;0.047966792;0.010069952;0.009916212;0.001383657;0.053655162;0.079483435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1970-1968-F3;1969;0.020386572;0.140834181;0.034303154;0.048585961;0.026937945;0.028565615;0.044354018;0.040976602;0.013916582;0.017538149;0.01965412;0.027629705;0.021770092;0.095055951;0.069460834;0.018555443;0.009033571;0.003947101;0.021159715;0.029460834;0.032390641;0.001180061;0.017985758;0.05224822;0.012126144;0.027548321;0.000732452;0.047080366;0.076581892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1967-1965-F3;1966;0.02783036;0.139554553;0.034314713;0.036932619;0.01828507;0.029119175;0.049095815;0.033791131;0.017882315;0.017962866;0.031817633;0.036086834;0.026702646;0.109106287;0.085988159;0.014901929;0.006524628;0.004269201;0.019614161;0.03576463;0.034435539;0.001611019;0.009867494;0.032542591;0.007813444;0.013331185;0.001047163;0.048290306;0.075516533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1964-1962-F3;1963;0.026716761;0.178877061;0.008766437;0.054372782;0.018993947;0.045710708;0.08317679;0.034022125;0.017219787;0.017428512;0.017845961;0.012210394;0.049154665;0.026508036;0.094030474;0.017428512;0.004800668;0.006887915;0.029221457;0.012106032;0.045710708;0.002400334;0.008870799;0.060008349;0.002922146;0.011479858;0.002087247;0.047067418;0.063974118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1961-1959-F3;1960;0.013800684;0.315339521;0.034074255;0.049462628;0.017586712;0.040547142;0.056790425;0.027967758;0.018930142;0.012457255;0.007938447;0.005617978;0.04616512;0.007572057;0.061797753;0.017953102;0.003297509;0.008915486;0.034562775;0.008671226;0.031753786;0.005007328;0.010258915;0.053981436;0.003908158;0.011724475;0.002931119;0.041768442;0.049218368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1958-1956-F3;1957;0.058613598;0.173784176;0.029155577;0.054500363;0.019598355;0.037079603;0.064843939;0.028308735;0.018086136;0.011553351;0.007500605;0.00338737;0.062242923;0;0.07349383;0.023469635;0.005564965;0.013730946;0.052564723;0;0.030183886;0.012400194;0.018328091;0.087103799;0.009738689;0.009980644;0.002601016;0.028974111;0.063210743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1955-1953-F3;1954;0.018582337;0.173727955;0.035610514;0.053990134;0.020609501;0.030339888;0.06588283;0.040745996;0.023042097;0.011960268;0.009865531;0.003446179;0.063923238;0;0.091492668;0.022704237;0.003784039;0.017230894;0.059193189;0;0.028920873;0.00695993;0.014055004;0.086762619;0.007432935;0.010406109;0.003716467;0.03040746;0.065207109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1952-1950-F3;1951;0.0135944;0.373643096;0.059551588;0.043623821;0.016840824;0.034696155;0.038754185;0.031855534;0.022826418;0.01085523;0.022014812;0.00405803;0.045855737;0;0.071015522;0.016739373;0.002434818;0.00811606;0.030942477;0.026884448;0.005782693;0.009434919;0.007710257;0.00405803;0.007811707;0.013492949;0;0.029623618;0.047783301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1946-1944-F3;1945;0.041089458;0.443296548;0.009626673;0.0605776;0.015261799;0.031697582;0.039680676;0.02653205;0.03334116;0.008687485;0.010565861;0.002582766;0.056586053;0;0;0.015966189;0.000939188;0.013853017;0.035454332;0;0.019488143;0.007983095;0.003287157;0.024184081;0.002113172;0.010565861;0.013148626;0.033810754;0.039680676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1943-1941-F3;1942;0.01203819;0.214473502;0.074166321;0.059360731;0.01964854;0.01259167;0.04123426;0.053825931;0.04898298;0.04068078;0.02089387;0.00996264;0.0027674;0.066417601;0;0.082468521;0.0179881;0.00152207;0.01259167;0.03583783;0.02601356;0.00733361;0.00788709;0.02656704;0.00166044;0.00940916;0.01549744;0.03334717;0.04483188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1940-1938-F3;1939;0.008678167;0.170600063;0.033654355;0.065297915;0.025611176;0.054926447;0.073235263;0.067414541;0.044978305;0.009418986;0.007831517;0.002539951;0.078738491;0;0.086675839;0.01947296;0.003809927;0.018097153;0.051539845;0;0.034289343;0.010688962;0.010900624;0.035876812;0.004656577;0.008572336;0.024552863;0.023071224;0.024870357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_1937-1935-F3;1936;0.007525737;0.16684416;0.053390131;0.061980831;0.029605964;0.057294995;0.070358537;0.064039759;0.042385517;0.008519702;0.007880724;0.002200923;0.073908413;0;0.091089812;0.019453319;0.004401846;0.016187433;0.042172524;0;0.037841676;0.009868655;0.008306709;0.030812922;0.004188853;0.008022719;0.030528931;0.02456514;0.026624068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_24-26cm-F3;1930;0.009386374;0.239384458;0.053125599;0.053317157;0.028478386;0.044888577;0.065193793;0.057786859;0.038694847;0.006896111;0.0066407;0.002170998;0.066917821;0;0.070748994;0.017687249;0.003192644;0.013472958;0.038503288;0;0.039397229;0.011621225;0.006002171;0.026690505;0.004341996;0.007406934;0.033905881;0.0254773;0.028669944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_26-28cm-F3;1920;0.038701446;0.224553445;0.073008222;0.054862489;0.028636235;0.041820244;0.064218883;0.055146016;0.036433229;0.003827616;0.003118798;0;0.073575276;0;0.06209243;0.015735753;0.002551744;0.01119932;0.032180323;0;0.03685852;0.007938758;0.006379359;0.022398639;0;0.007796995;0.038559682;0.030904451;0.027502126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_28-30cm-F3;1910;0.023488688;0.152676474;0.039312647;0.069477068;0.032018791;0.044010384;0.066880949;0.066510075;0.053900359;0.004574113;0.001607121;0;0.080356039;0;0.067622697;0.018296452;0.003461491;0.016318457;0.046977377;0;0.042403264;0.014340462;0.00581036;0.033007788;0;0.00766473;0.048460873;0.033131413;0.027691927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_30-32cm-F3;1900;0.006152014;0.126215519;0.117086724;0.057484951;0.032281537;0.036912086;0.066613746;0.074221076;0.052325197;0.004233644;0.001852219;0;0.075477939;0;0.066150691;0.017926837;0.004696699;0.016471522;0.04021962;0;0.03830125;0.008268836;0.005292055;0.029503208;0;0.007408877;0.047363895;0.036978236;0.030561619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_32-34cm-F3;1890;0.020914569;0.141616448;0.088443814;0.059198866;0.037220844;0.030485643;0.079936193;0.082417582;0.051754697;0.002835874;0.002304147;0;0.085076214;0;0.067529245;0.014179369;0.006557958;0.014888337;0.033321517;0;0.040942928;0.003899326;0.004076569;0.026586317;0;0.005140021;0.051222971;0.023395959;0.026054591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_34-36cm-F3;1880;0.006763491;0.160472732;0.129218283;0.078171721;0.031966396;0.028121885;0.061654564;0.070269116;0.04933789;0.002420618;0.002990175;0.001139114;0.070411505;0;0.053040011;0.01317101;0.004770041;0.013598177;0.032037591;0;0.036380464;0.006549907;0.004485263;0.025274099;0;0.00598035;0.057454079;0.022355119;0.031966396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_36-38cm-F3;1870;0.009345054;0.159103508;0.109527204;0.059871703;0.030965392;0.030490219;0.063673081;0.065890552;0.050447454;0.002613447;0.001663103;0.000791954;0.076106755;0;0.059000554;0.015522293;0.003801378;0.014334363;0.034370793;0;0.040785618;0.006731607;0.005068504;0.025104934;0;0.006018848;0.070563079;0.025500911;0.03270769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_38-40cm-F3;1860;0.096742897;0.067636868;0.100623701;0.07040887;0.030769231;0.032709633;0.074012474;0.043104643;0.049341649;0.002217602;0.001108801;0.001524602;0.083160083;0;0.05959806;0.016216216;0.003187803;0.014830215;0.036451836;0;0.040887041;0.005959806;0.005128205;0.027442827;0;0.005405405;0.074982675;0.026472626;0.03007623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_40-42cm-F3;1850;0.009907722;0.191160758;0.09839728;0.065662943;0.034579893;0.030597377;0.058377853;0.075279262;0.04351627;0.001554153;0.003788247;0.000582807;0.076250607;0;0.062457504;0.012918893;0.010004857;0.012044682;0.029237494;0;0.038756678;0.005050996;0.004662458;0.023215153;0;0.004953861;0.057892181;0.020203983;0.02894609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRE18_42-44cm-F3;1840;0.011091779;0.043497173;0.018486298;0.090691605;0.048716833;0.04414963;0.078947368;0.071117877;0.058503697;0.002827316;0.001304915;0.001087429;0.11200522;0;0.096346237;0.018051327;0.00630709;0.014571553;0.038712484;0;0.052196607;0.005654632;0.007394519;0.03153545;0;0.006959548;0.077642453;0.031100478;0.031100478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
