sample,C16-alkanol-ug.gTOC,C18-alkanol-ug.gTOC,Phytol-ug.gTOC,C20-alkanol-ug.gTOC,C22-alkanol-ug.gTOC,C24-alkanol-ug.gTOC,C26-alkanol-ug.gTOC,C28-alkanol-ug.gTOC,cholesterol-ug.gTOC,cholestanol-ug.gTOC,Brassicasterol-ug.gTOC,Campasterol-plus-x-co-elutingug.gTOC,Campastanol-plus-x-ug.gTOC,Stigmasterol_ug.gTOC,4a-desmethyl-dinosterol-ug.gTOC,C30-alkanol-ug.gTOC,unknown-compound-M486,Fungisterol-ug.gTOC,Sitosterol-plus-chondrillasterol-ug.gTOC,Sitostanol-ug.gTOC,4a-24-dimethyl-5a-cholestan-3b-ol-plus-b-Amyrin-ug.gTOC,Dehydrodinosterol-ug.gTOC,Dinosterol.ug.gTOC,maybe-single-22-dihydrochondrillasterol-ug.gTOC,a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-ug.gTOC,4a-23-24-cholest-17-20-en-3b-ol-ug.gTOC,alcohol-mz-174-227-395-410-ug.gTOC,Dinostanol-plus-isomer.ug.gTOC,maybe-another-Dinostanol-isomer-ug.gTOC,sterol-mz-75-255-388-500-ug.gTOC,C32-alkanol-ug.gTOC,maybe-lanosterol-plus-co-eluter-ug.gTOC,Tetrahymanol-ug.gTOC,Diplopterol-ug.gTOC
ZUG24_S1,65.17391886,116.8117161,1470.423877,241.6448376,163.8372053,145.4882404,363.97127,152.1058999,829.7141209,761.3316399,638.90494,709.6938426,280.3481187,467.8484699,34.49204321,136.3638918,294.9871835,65.27418643,1191.479504,805.2488345,87.13251614,42.71398375,134.6593431,27.77411619,32.08562159,16.84495134,77.7073648,261.497816,40.80889997,39.40515402,39.70595672,78.50950534,312.8348105,436.8657915
ZUG24_S2,50.48167205,56.43069064,719.3553281,103.7168898,137.7452762,135.9775678,258.3573788,117.8585569,135.3996631,123.2976596,117.5866018,226.6066167,118.1645064,121.2579961,10.19831759,41.71111892,89.26927326,20.39663517,466.7769959,312.1705013,37.42782554,7.784715757,43.44483291,18.35697165,54.32303834,0.781871015,35.25218445,88.62337982,15.97736422,16.8952128,22.91222017,23.49012484,93.89251057,216.136344
ZUG24_S3,50.34709237,84.5764687,1718.779945,170.9807196,145.5579304,178.9564966,285.8817572,115.8980097,342.2937633,206.3732301,255.1417833,385.3297268,170.8145576,260.1266439,42.86980142,98.0355924,312.1353565,64.47086416,695.138815,635.5697304,83.24717253,18.36090332,102.1896429,33.64780926,79.09312201,8.723506104,92.4691647,245.4213051,40.79277616,45.0299077,87.98279013,64.88626921,204.9608529,457.0286388
ZUG24_S4,34.55211767,50.53209089,479.7346541,108.2307728,136.6531679,127.6873051,270.4396995,150.6813887,104.8761983,71.57442204,72.42831374,146.4729225,112.6222158,85.02321629,10.42967718,27.2635421,68.12835911,25.15930898,395.5653295,233.4173951,40.43787116,6.495676137,39.06554522,16.40691907,49.403734,1.646791133,26.89758851,52.7278124,15.88848482,14.8211202,20.49340077,20.92034662,95.75785479,158.6408792
ZUG24_S5,30.27237227,43.79155778,625.3816169,111.7586002,138.4258564,137.9487086,273.2465966,145.3444984,162.8134067,60.94236764,70.96246984,198.6525024,98.95513631,86.68183653,9.171839583,17.65446579,48.51001861,44.2687055,416.0197989,193.4303857,46.86650978,11.13344689,49.54383867,42.01550792,48.8811335,1.723033448,39.65627751,119.15439,11.5575782,21.12704089,9.702003721,15.50730103,87.3445417,96.35733204
ZUG24_S6,50.40599547,70.37996002,1767.036346,198.0437429,139.7235351,244.4926322,379.1284594,147.7319643,269.6485215,132.8457077,176.3738757,356.9875081,179.3888138,321.7504197,33.54118577,58.41442465,308.0889816,246.7538357,1077.934568,427.932769,119.7495705,9.704331837,119.1842697,176.750743,85.36043344,6.689393791,69.72044233,177.5044775,51.44238042,83.00501309,19.5970973,22.98890261,257.0234685,462.887207
ZUG24_S7,40.23909836,54.06106507,659.9784638,111.4344949,137.6062662,112.2523628,183.4477594,122.8028581,136.8292918,60.44043432,79.86479583,150.6512585,107.5087293,57.2507497,22.08243203,26.49891843,126.2379031,36.14975909,273.2496496,291.3245292,86.65309901,33.40990179,126.1970097,26.74427879,42.85627549,10.42781512,57.41432327,176.2914157,36.92673355,55.49233381,21.1009906,47.72258921,80.19194297,308.1726069
ZUG24_S8,38.78019845,53.46966756,918.3321924,129.0002469,118.5840779,94.97409482,201.5929324,113.2424528,178.2500306,69.70820795,110.945554,257.9470775,188.2922858,154.2127175,40.48951849,80.07096071,270.3930641,47.0597174,390.259132,553.3923635,132.2586382,90.22004845,245.0203447,19.17643422,50.15785998,34.50689834,90.00638345,335.5074744,45.51064611,67.83863916,26.22737939,111.2126352,115.4859353,448.2157647
ZUG24_S9,40.41875666,60.20177679,1036.519402,147.7331137,122.9190669,107.3569929,257.349805,142.7447229,188.0665987,73.97314641,117.8880402,244.6016951,199.2798192,153.8300359,49.5854578,70.51964505,278.5398072,53.33740989,388.4975851,592.3820728,136.4772574,94.01198146,237.0551551,21.57372454,48.39165486,33.12803156,80.28324766,301.5205138,34.57764942,77.38401195,66.89560042,99.68254542,127.2252847,501.3119628
ZUG24_S10,41.11155839,37.6578546,439.4525993,81.80700789,114.4715558,109.2285838,233.2290332,137.7320428,113.2232291,41.23639106,68.57474517,154.9589508,108.9373076,84.26205034,21.01349897,45.81358885,156.9146626,9.029562925,255.5324697,344.3301069,86.84192546,76.39759231,166.1938909,0,42.06860884,25.75714033,52.22166577,221.4531516,26.75580166,35.16120125,22.51149098,83.18016723,73.81771719,352.2361759
ZUG24_S11,22.87046345,33.66926397,148.1037014,73.82602027,166.827097,155.781936,273.0495188,212.2806033,22.95258361,14.41208738,20.36579869,66.02460544,116.6106216,25.2108879,1.149682184,10.34713966,4.023887645,0.574841092,283.150298,119.8133076,29.93279687,12.60544395,30.75399843,0,53.50128165,0,0.492720936,19.70883745,4.106007801,5.050389595,4.188127957,26.03208946,10.51137997,19.83201768
ZUG24_S12,36.08345787,42.41204884,701.4596239,127.5508278,198.6688058,166.25663,320.1707594,291.0802198,117.9355653,44.12531379,94.7540415,179.50821,181.9207668,89.08977777,28.56607082,53.3909304,85.52338949,6.748166055,352.8976166,364.7506129,94.7890061,79.78919657,172.410398,0,65.13903296,29.26536263,55.90838095,247.4094456,33.81075946,45.83857875,23.28641758,94.64914773,60.38384859,224.1230281
ZUG24_S13,34.01274225,35.59473027,221.8040251,82.68213815,128.8854939,136.6558468,298.8561471,223.5721293,94.87275165,33.59398072,58.3474402,98.22284391,137.8190733,58.90578891,13.26078186,28.10355174,0,0,178.5785291,155.3605286,54.0202377,37.45589263,97.52490802,0,34.7572072,4.141086266,12.14408444,123.8603555,19.91443733,17.44839719,8.700934065,89.0100902,42.01574043,46.11029764
ZUG24_S14,33.46262556,41.86602175,168.621441,100.5388359,168.9233594,155.4376697,259.3982478,250.7935726,50.92357454,23.85155566,31.55047553,83.1785264,117.6475467,52.58412588,7.39700144,20.8323714,0,0,274.896727,130.1268417,41.01058621,27.87713468,62.69839316,0,45.89160077,2.264388196,5.736450096,73.21521833,8.05115803,13.28441075,6.591885637,62.49711421,31.651115,31.34919658
